λελυμένω εἰήτην; λελυμένω εἰήτην<br><br>pero m-p d3
λελύκοίη; λελύκοίη<br><br>pero  s3
λελυμένοι εἶεν; λελυμένοι εἶεν<br><br>pero m-p p3
λελύμεθα; λελύμεθα<br><br>peri m-p p1
λέλυται; λέλυται<br><br>peri m-p s3
λελύκετε; λελύκετε<br><br>perimp  p2
λελύκοι; λελύκοι<br><br>pero  s3
λελύσεται; λελύ̄σεται<br><br>futpi pas s3
ἐλελυκέτην; ἐλελυκέτην<br><br>plupi  d3
λελύκητον; λελύκητον<br><br>pers  d2<br>pers  d3
ἐλελύκη; ἐλελύκη<br><br>plupi  s1
λελυσοίσθην; λελῡσοίσθην<br><br>futpo pas d3
λελυκότες ἦτε; λελυκότες ἦτε<br><br>pers  p2
λελυσοίμεθα; λελῡσοίμεθα<br><br>futpo pas p1
λελύσομαι; λελύ̄σομαι<br><br>futpi pas s1
λελυμένω εἴτην; λελυμένω εἴτην<br><br>pero m-p d3
λελύσθων; λελύσθων<br><br>perimp m-p d3<br>perimp m-p p3
λελυκὼς ᾖ; λελυκὼς ᾖ<br><br>pers  s3
λελύκασι; λελύκᾱσι<br><br>peri  p3
ἐλελύσθην; ἐλελύσθην<br><br>plupi m-p d3
λελυκότε εἶτον; λελυκότε εἶτον<br><br>pero  d2
