futp pas nsn; λελῡσόμενον
peri m-p s2; λέλυσαι
fo mid p1; λῡσοίμεθα
fo mid p2; λύ̄σοισθε
fo mid p3; λύ̄σοιντο
p m-p mpn; λῡόμενοι
f pas mdg; λυθησομένοιν
pers  s1; λελυκὼς ὦ<br>λελύκω
pers  s3; λελυκὼς ᾖ<br>λελύκῃ
pers  s2; λελυκὼς ᾖς<br>λελύκῃς
per m-p mdn; λελῡομένω
pi  s2; λύ̄εις
pi  s3; λύ̄ει
pi  s1; λύ̄ω
aimp mid s3; λῡσάσθω
aimp mid s2; λῦσαι
po m-p d2; λύ̄οισθον
po  s1; λύ̄οιμι
po  s2; λύ̄οις
po  s3; λύ̄οι
f pas ndg; λυθησομένοιν
f pas nsg; λυθησομένου
futp pas mdn; λελῡσομένω
ps m-p d3; λύ̄ησθον
plupi  p1; ἐλελύκεμεν
futp pas mdg; λελῡσομένοιν
plupi  p3; ἐλελύκεσαν
plupi  p2; ἐλελύκετε
futp pas fpd; λελῡσομέναις
futp pas fpg; λελῡσομένων
a mid fdn; λῡσαμένᾱ
a mid fdg; λῡσαμέναιν
p m-p mdn; λῡομένω
fi pas p2; λυθήσεσθε
perimp m-p s2; λέλυσο
per m-p mdg; λελῡομένοιν
fo pas p2; λυθήσοισθε
fo pas p3; λυθήσοιντο
aimp  s2; λῦσον
aimp  s3; λῡσάτω
a mid npn; λῡσάμενα
a mid npd; λῡσαμένοις
perimp m-p s3; λελύσθω
a mid npg; λῡσαμένων
ao mid s2; λύ̄σαιο
ao mid s3; λύ̄σαιτο
ao mid s1; λῡσαίμην
ps  p1; λύ̄ωμεν
ps  p3; λύ̄ωσι
ps  p2; λύ̄ητε
as  s3; λύ̄σῃ
as  s2; λύ̄σῃς
as  s1; λύ̄σω
a pas mpa; λυθέντας
f mid fpa; λῡσομένᾱς
f mid fpg; λῡσομένων
po  d3; λῡοίτην
a pas mpg; λυθέντων
f mid fpd; λῡσομέναις
po  d2; λύ̄οιτον
f mid fpn; λῡσόμεναι
a pas mpn; λυθέντες
f mid mpa; λῡσομένους
perimp m-p p3; λελύσθων
f mid mpd; λῡσομένοις
f mid mpg; λῡσομένων
f mid mpn; λῡσόμενοι
per m-p fdn; λελῡομένᾱ
f pas fpd; λυθησομέναις
f pas fpg; λυθησομένων
f pas fpa; λυθησομένᾱς
per  npd; λελυκόσι<br>λελυκόσιν
per  npg; λελυκότων
per m-p fdg; λελῡομέναιν
f pas fpn; λυθησόμεναι
pero  d2; λελυκότε εἴητον<br>λελυκότε εἶτον<br>λελύκοιτον
per  npn; λελυκότα
as pas s1; λυθῶ
as pas s2; λυθῇς
as pas s3; λυθῇ
futp pas fsa; λελῡσομένην
futp pas fsd; λελῡσομένῃ
futp pas fsg; λελῡσομένης
pimp  p2; λύ̄ετε
pimp  p3; λῡόντων
futp pas fsn; λελῡσομένη
futpo pas p2; λελύ̄σοισθε
futpo pas p3; λελύ̄σοιντο
futpo pas p1; λελῡσοίμεθα
futp pas fsv; λελῡσομένη
a pas mpd; λυθεῖσι<br>λυθεῖσιν
