ao pas p1; λυθεῖμεν<br>λυθείημεν
ao pas s2; λυθείης
ii m-p s1; ἐλῡόμην
ii m-p s2; ἐλύ̄ου
ii m-p s3; ἐλύ̄ετο
ai pas p1; ἐλύθημεν
pi m-p p1; λῡόμεθα
pi m-p p2; λύ̄εσθε
pi m-p p3; λύ̄ονται
ao pas p3; λυθεῖεν<br>λυθείησαν
ps m-p p3; λύ̄ωνται
ao pas p2; λυθεῖτε<br>λυθείητε
aimp pas p2; λύθητε
as  d3; λύ̄σητον
ai pas s2; ἐλύθης
ai  d2; ἐλύ̄σατον
ai pas s1; ἐλύθην
ai  d3; ἐλῡσάτην
po m-p s2; λύ̄οιο
po m-p s1; λῡοίμην
ps m-p s3; λύ̄ηται
ps m-p s2; λύ̄ῃ
ps m-p s1; λύ̄ωμαι
