λύσοιτο; λύ̄σοιτο<br><br>fo mid s3
λυέτω; λῡέτω<br><br>pimp  s3
λύσησθον; λύ̄σησθον<br><br>as mid d2<br>as mid d3
λύεσθον; λύ̄εσθον<br><br>pi m-p d2<br>pi m-p d3<br>pimp m-p d2
λύσωμαι; λύ̄σωμαι<br><br>as mid s1
λύσαισθε; λύ̄σαισθε<br><br>ao mid p2
ἐλύοντο; ἐλύ̄οντο<br><br>ii m-p p3
λυθείης; λυθείης<br><br>ao pas s2
λυσάτων; λῡσάτων<br><br>aimp  d3
λυσώμεθα; λῡσώμεθα<br><br>as mid p1
ἐλύθημεν; ἐλύθημεν<br><br>ai pas p1
ἐλύεσθον; ἐλύ̄εσθον<br><br>ii m-p d2
λύσωμεν; λύ̄σωμεν<br><br>as  p1
ἐλύετε; ἐλύ̄ετε<br><br>ii  p2
λύοισθον; λύ̄οισθον<br><br>po m-p d2
ἐλύετο; ἐλύ̄ετο<br><br>ii m-p s3
λύσοι; λύ̄σοι<br><br>fo  s3
λυθῇς; λυθῇς<br><br>as pas s2
λύσουσι; λύ̄σουσι(ν)<br><br>f  mpd<br>f  npd<br>fi  p3
λύοιμεν; λύ̄οιμεν<br><br>po  p1
λύσῃς; λύ̄σῃς<br><br>as  s2
λυθησόμεθα; λυθησόμεθα<br><br>fi pas p1
λύσαι; λύ̄σαι / λύ̄σειε<br><br>ao  s3
λύσω; λύ̄σω<br><br>fi  s1<br>as  s1
ἐλύεσθε; ἐλύ̄εσθε<br><br>ii m-p p2
ἐλύθη; ἐλύθη<br><br>ai pas s3
ἐλυσάμην; ἐλῡσάμην<br><br>ai mid s1
ἐλυσάμεθα; ἐλῡσάμεθα<br><br>ai mid p1
λύσατε; λύ̄σατε<br><br>aimp  p2
λύετε; λύ̄ετε<br><br>pi  p2<br>pimp  p2
λυθησοίσθην; λυθησοίσθην<br><br>fo pas d3
λύεσθε; λύ̄εσθε<br><br>pi m-p p2<br>pimp m-p p2
ἐλύθης; ἐλύθης<br><br>ai pas s2
λύσειας; λύ̄σαις / λύ̄σειας<br><br>ao  s2
λυθήσῃ; λυθήσῃ / λυθήσει<br><br>fi pas s2
λύσοιμεν; λύ̄σοιμεν<br><br>fo  p1
λῦσον; λῦσον<br><br>f  nsn<br>aimp  s2
λυσοίμην; λῡσοίμην<br><br>fo mid s1
λυθήσοισθον; λυθήσοισθον<br><br>fo pas d2
ἐλυόμην; ἐλῡόμην<br><br>ii m-p s1
λῦε; λῦε<br><br>pimp  s2
λύοι; λύ̄οι<br><br>po  s3
λύονται; λύ̄ονται<br><br>pi m-p p3
λυθῶ; λυθῶ<br><br>as pas s1
λύσεσθον; λύ̄σεσθον<br><br>fi mid d2<br>fi mid d3
λύεται; λύ̄εται<br><br>pi m-p s3
ἐλύετον; ἐλύ̄ετον<br><br>ii  d2
λυθήτων; λυθήτων<br><br>aimp pas d3
λύοιτον; λύ̄οιτον<br><br>po  d2
λυοίμεθα; λῡοίμεθα<br><br>po m-p p1
λυθῇ; λυθῇ<br><br>as pas s3
λυσάντων; λῡσάντων<br><br>a  mpg<br>a  npg<br>aimp  p3
λύοιο; λύ̄οιο<br><br>po m-p s2
λύσεται; λύ̄σεται<br><br>fi mid s3
λυθῆτον; λυθῆτον<br><br>as pas d2<br>as pas d3
λύσωνται; λύ̄σωνται<br><br>as mid p3
ἔλυσε; ἔλῡσε<br><br>ai  s3
ἔλυσα; ἔλῡσα<br><br>ai  s1
ἔλυες; ἔλῡες<br><br>ii  s2
λυσοίτην; λῡσοίτην<br><br>fo  d3
λύοιεν; λύ̄οιεν<br><br>po  p3
λύω; λύ̄ω<br><br>pi  s1<br>ps  s1
λύητον; λύ̄ητον<br><br>ps  d2<br>ps  d3
λυσάτω; λῡσάτω<br><br>aimp  s3
λυθήσοισθε; λυθήσοισθε<br><br>fo pas p2
λύσοιμι; λύ̄σοιμι<br><br>fo  s1
λυθείησαν; λυθεῖεν / λυθείησαν<br><br>ao pas p3
ἐλύομεν; ἐλύ̄ομεν<br><br>ii  p1
